User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Danielle Richardson","Harry Ross",Carer,"2021-09-28 03:53:00",159,Outgoing,40
"Danielle Richardson","Jackson Jones",Carer,"2021-09-19 12:50:04",575,Outgoing,82
"Danielle Richardson","Jake Young",Nurse,"2021-09-20 07:46:32",492,Incoming,53
"Danielle Richardson","Christopher Baker",Nurse,"2021-09-17 05:10:22",767,Incoming,21
"Danielle Richardson","Jason Kennedy",Carer,"2021-09-04 01:42:33",699,Incoming,11
"Danielle Richardson","Beth Clark",Carer,"2021-08-31 07:57:32",605,Outgoing,14
"Danielle Richardson","Finley Hughes",Nurse,"2021-10-07 03:39:42",1000,Outgoing,12
"Danielle Richardson","Sienna Campbell",Carer,"2021-10-03 02:41:44",319,Outgoing,79
"Danielle Richardson","Michael Collins",Carer,"2021-09-07 09:03:49",248,Outgoing,67
"Danielle Richardson","Francesca Fox",Carer,"2021-10-02 02:27:50",682,Incoming,43
"Danielle Richardson","Tyler Miller",Carer,"2021-10-07 09:06:58",680,Incoming,71
"Danielle Richardson","Mohammed Collins",Nurse,"2021-08-24 01:44:08",771,Outgoing,49
"Danielle Richardson","Ian Davies",Carer,"2021-09-11 09:39:28",677,Incoming,84
"Danielle Richardson","George Anderson",Nurse,"2021-10-11 02:34:38",725,Outgoing,70
"Danielle Richardson","Kirsten Green",Carer,"2021-10-12 01:24:28",462,Outgoing,19
"Danielle Richardson","Abbie Holmes",Nurse,"2021-09-09 09:08:41",994,Incoming,8
"Danielle Richardson","Christopher Khan",Carer,"2021-09-29 11:36:08",149,Outgoing,52
"Danielle Richardson","Lucas Wilson",Carer,"2021-10-07 12:42:27",435,Outgoing,44
"Danielle Richardson","Christopher Khan",Carer,"2021-10-03 09:58:04",371,Incoming,0
"Danielle Richardson","Tyler Miller",Carer,"2021-10-14 07:12:19",355,Incoming,30
"Danielle Richardson","Lizzie Smith",Carer,"2021-08-17 12:02:45",570,Incoming,3
"Danielle Richardson","Evelyn Evans",Nurse,"2021-09-27 12:18:17",54,Incoming,50
"Danielle Richardson","Elizabeth Jones",Nurse,"2021-08-24 08:29:06",968,Outgoing,17
"Danielle Richardson","Christopher Baker",Nurse,"2021-08-20 08:09:47",500,Incoming,10
"Danielle Richardson","Ray Graham",Carer,"2021-08-27 12:46:38",355,Outgoing,69
"Danielle Richardson","Elliott Griffiths",Carer,"2021-10-03 10:02:52",3,Incoming,16
"Danielle Richardson","Jamie Mason",Nurse,"2021-09-14 09:09:49",200,Outgoing,66
"Danielle Richardson","Poppy Johnson",Carer,"2021-08-29 04:53:05",25,Incoming,88
"Danielle Richardson","Steve Saunders",Carer,"2021-08-18 07:53:51",743,Outgoing,59
"Danielle Richardson","Alexandra Hughes",Nurse,"2021-09-22 03:24:45",474,Outgoing,22
"Danielle Richardson","Lizzie Smith",Carer,"2021-10-14 02:31:07",255,Incoming,80
"Danielle Richardson","Ross Owen",Nurse,"2021-09-24 06:26:06",960,Incoming,52
"Danielle Richardson","Barry Mason",Nurse,"2021-09-12 06:21:20",269,Incoming,36
"Danielle Richardson","Lilly Stewart",Carer,"2021-09-07 06:05:29",468,Incoming,1
"Danielle Richardson","Tyler Hughes",Carer,"2021-08-17 12:48:19",682,Outgoing,66
"Danielle Richardson","Summer Wright",Carer,"2021-08-25 07:34:37",185,Incoming,34
"Danielle Richardson","Karl Bell",Nurse,"2021-10-10 02:16:24",914,Outgoing,68
"Danielle Richardson","Sonia Young",Nurse,"2021-08-23 07:41:36",822,Incoming,76
"Danielle Richardson","Max Butler",Nurse,"2021-08-27 08:38:27",348,Incoming,97
"Danielle Richardson","Tony Ross",Nurse,"2021-09-29 03:14:40",638,Incoming,49
"Danielle Richardson","Kirsten Green",Carer,"2021-09-09 02:47:00",399,Incoming,70
"Danielle Richardson","Gordon Kelly",Nurse,"2021-09-17 11:40:40",807,Incoming,54
"Danielle Richardson","Jackson Jones",Carer,"2021-09-21 06:01:50",918,Incoming,100
"Danielle Richardson","Muhammad Gray",Carer,"2021-08-26 09:02:26",840,Outgoing,62
"Danielle Richardson","Rowena Stevens",Carer,"2021-10-11 08:45:36",327,Incoming,61
"Danielle Richardson","Stefan James",Nurse,"2021-09-28 06:56:41",663,Outgoing,43
"Danielle Richardson","Becky Griffiths",Carer,"2021-09-16 04:23:26",357,Incoming,91
"Danielle Richardson","Adrian Ross",Carer,"2021-09-06 01:49:36",917,Outgoing,30
"Danielle Richardson","Suzanne Allen",Nurse,"2021-08-18 02:08:53",951,Incoming,56
"Danielle Richardson","Imogen Bell",Nurse,"2021-08-20 08:14:51",133,Outgoing,26
"Danielle Richardson","Christopher Khan",Carer,"2021-09-07 06:57:43",776,Outgoing,96
"Danielle Richardson","Barry Mason",Nurse,"2021-08-29 08:36:29",147,Incoming,0
"Danielle Richardson","Harvey Edwards",Nurse,"2021-08-30 07:35:58",378,Incoming,28
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-09-01 02:06:23",191,Incoming,81
"Danielle Richardson","Mike Scott",Carer,"2021-09-27 08:58:45",631,Incoming,24
"Danielle Richardson","Harry Ross",Carer,"2021-08-20 03:07:38",574,Incoming,90
"Danielle Richardson","Tyler Miller",Carer,"2021-08-23 06:24:52",167,Incoming,7
"Danielle Richardson","Jason Kennedy",Carer,"2021-08-26 08:06:11",81,Outgoing,50
"Danielle Richardson","Bruce James",Nurse,"2021-10-04 08:52:34",228,Incoming,64
"Danielle Richardson","Elizabeth Jones",Nurse,"2021-10-13 01:27:40",665,Outgoing,5
"Danielle Richardson","Charlotte Harris",Carer,"2021-08-24 08:46:57",266,Incoming,63
"Danielle Richardson","Joanne Ross",Nurse,"2021-09-28 07:31:39",388,Incoming,57
"Danielle Richardson","Suzanne Allen",Nurse,"2021-10-04 01:14:47",849,Outgoing,11
"Danielle Richardson","Christopher Khan",Carer,"2021-09-03 09:34:29",624,Incoming,41
"Danielle Richardson","Summer Wright",Carer,"2021-10-07 05:20:00",757,Incoming,18
"Danielle Richardson","Zoe Wilkinson",Nurse,"2021-09-08 08:00:14",616,Outgoing,16
"Danielle Richardson","Elizabeth Jones",Nurse,"2021-09-03 06:33:58",353,Outgoing,83
"Danielle Richardson","Karl Bell",Nurse,"2021-09-22 09:16:46",718,Outgoing,35
"Danielle Richardson","Sonia Griffiths",Nurse,"2021-09-13 08:34:24",336,Outgoing,21
"Danielle Richardson","Elliott Griffiths",Carer,"2021-08-31 01:40:39",691,Outgoing,89
"Danielle Richardson","Abbie Holmes",Nurse,"2021-08-19 05:38:20",165,Incoming,40
"Danielle Richardson","Christopher Baker",Nurse,"2021-09-01 06:27:19",880,Outgoing,43
"Danielle Richardson","Kimberly Adams",Carer,"2021-08-16 12:40:52",684,Outgoing,80
"Danielle Richardson","Gordon Shaw",Nurse,"2021-09-16 08:07:11",22,Outgoing,100
"Danielle Richardson","Sienna Campbell",Carer,"2021-09-06 10:30:42",481,Outgoing,38
"Danielle Richardson","Ian Davies",Carer,"2021-09-21 04:34:51",814,Incoming,11
"Danielle Richardson","Gordon Shaw",Nurse,"2021-10-12 07:58:24",551,Incoming,41
"Danielle Richardson","Gordon Kelly",Nurse,"2021-09-08 07:43:41",345,Incoming,9
"Danielle Richardson","Finley Hughes",Nurse,"2021-08-20 06:48:06",988,Incoming,60
"Danielle Richardson","Reece Phillips",Nurse,"2021-08-17 06:06:56",879,Outgoing,38
"Danielle Richardson","Barry Mason",Nurse,"2021-10-15 09:27:42",275,Incoming,24
"Danielle Richardson","Tony Ross",Nurse,"2021-09-13 07:37:05",588,Outgoing,86
"Danielle Richardson","Jamie Mason",Nurse,"2021-09-12 09:14:15",59,Incoming,39
"Danielle Richardson","Elliott Kelly",Nurse,"2021-09-02 10:37:19",191,Outgoing,1
"Danielle Richardson","Elliott Griffiths",Carer,"2021-09-11 02:56:42",944,Outgoing,51
"Danielle Richardson","Rowena Stevens",Carer,"2021-09-24 12:04:50",22,Incoming,98
"Danielle Richardson","Becky Richardson",Carer,"2021-10-01 06:58:16",907,Outgoing,63
"Danielle Richardson","Jake Young",Nurse,"2021-08-16 08:39:15",688,Outgoing,22
"Danielle Richardson","Jackson Jones",Carer,"2021-10-08 08:53:23",450,Incoming,73
"Danielle Richardson","Lizzie Smith",Carer,"2021-08-24 01:20:03",579,Outgoing,46
"Danielle Richardson","Paula Stevens",Carer,"2021-08-27 05:22:31",187,Outgoing,17
"Danielle Richardson","Gordon Kelly",Nurse,"2021-09-07 02:25:49",678,Incoming,1
"Danielle Richardson","Benjamin Murphy",Carer,"2021-08-30 06:49:15",879,Outgoing,89
"Danielle Richardson","Sonia Young",Nurse,"2021-10-12 08:34:24",320,Incoming,69
"Danielle Richardson","Max Butler",Nurse,"2021-09-07 12:48:52",610,Incoming,88
"Danielle Richardson","Kirsten Green",Carer,"2021-09-12 11:21:36",834,Incoming,49
"Danielle Richardson","Elliott Griffiths",Carer,"2021-08-30 03:08:26",299,Incoming,4
"Danielle Richardson","Kirsten Green",Carer,"2021-10-10 05:57:02",685,Outgoing,78
"Danielle Richardson","Ryan Turner",Carer,"2021-09-24 09:32:48",752,Outgoing,90
"Danielle Richardson","Tara Watson",Nurse,"2021-08-19 05:35:55",14,Incoming,7
"Danielle Richardson","Karl Bell",Nurse,"2021-08-28 10:42:37",940,Outgoing,41
"Danielle Richardson","Kirsten Green",Carer,"2021-08-24 06:48:48",811,Incoming,12
"Danielle Richardson","Gordon Kelly",Nurse,"2021-09-29 06:35:32",91,Incoming,51
"Danielle Richardson","Paula Stevens",Carer,"2021-10-05 12:34:53",472,Outgoing,26
"Danielle Richardson","Beth Clark",Carer,"2021-09-24 10:54:25",938,Outgoing,13
"Danielle Richardson","Karl Davis",Nurse,"2021-09-30 06:40:47",106,Incoming,78
"Danielle Richardson","Alexandra Hughes",Nurse,"2021-09-09 09:30:05",741,Incoming,18
"Danielle Richardson","Kimberly Adams",Carer,"2021-10-07 06:50:38",570,Outgoing,63
"Danielle Richardson","Paula Stevens",Carer,"2021-10-12 07:45:45",182,Incoming,49
"Danielle Richardson","Gordon Kelly",Nurse,"2021-10-14 11:15:51",916,Outgoing,21
"Danielle Richardson","Zoe Wilkinson",Nurse,"2021-08-20 11:27:50",371,Incoming,28
"Danielle Richardson","Joseph Murray",Carer,"2021-09-05 02:10:33",824,Incoming,78
"Danielle Richardson","Reece Gray",Nurse,"2021-09-17 06:46:24",238,Outgoing,99
"Danielle Richardson","Tyler Hughes",Carer,"2021-10-07 02:54:27",956,Incoming,94
"Danielle Richardson","Becky Richardson",Carer,"2021-09-13 05:43:00",790,Incoming,68
"Danielle Richardson","Grace Walker",Nurse,"2021-08-23 07:48:39",17,Incoming,22
"Danielle Richardson","Ross Owen",Nurse,"2021-10-09 07:49:48",293,Incoming,60
"Danielle Richardson","Kieran Wood",Carer,"2021-10-12 12:43:05",865,Outgoing,0
"Danielle Richardson","Bruce James",Nurse,"2021-09-23 06:30:31",603,Outgoing,51
"Danielle Richardson","Chris Davis",Carer,"2021-10-08 03:16:56",899,Outgoing,20
"Danielle Richardson","Quentin Collins",Nurse,"2021-08-16 07:53:16",200,Incoming,9
"Danielle Richardson","Steve Saunders",Carer,"2021-09-28 03:25:10",65,Outgoing,74
"Danielle Richardson","Mohammed Collins",Nurse,"2021-09-28 05:02:39",949,Incoming,18
"Danielle Richardson","Tony Ross",Nurse,"2021-09-26 01:59:05",600,Incoming,69
"Danielle Richardson","Reece Hill",Nurse,"2021-09-05 01:14:25",758,Outgoing,37
"Danielle Richardson","Samantha Reid",Carer,"2021-10-10 01:54:20",978,Outgoing,78
"Danielle Richardson","Benjamin Murphy",Carer,"2021-09-23 08:12:56",915,Incoming,23
"Danielle Richardson","Suzanne Allen",Nurse,"2021-10-09 10:39:45",119,Outgoing,12
"Danielle Richardson","Reece Hill",Nurse,"2021-10-06 05:44:38",454,Outgoing,36
"Danielle Richardson","Suzanne Allen",Nurse,"2021-10-10 05:10:09",476,Incoming,36
"Danielle Richardson","Reece Phillips",Nurse,"2021-09-05 04:25:09",153,Outgoing,47
"Danielle Richardson","Rowena Stevens",Carer,"2021-08-31 08:41:22",332,Outgoing,95
"Danielle Richardson","Becky Griffiths",Carer,"2021-08-28 10:54:56",923,Outgoing,39
"Danielle Richardson","Muhammad Gray",Carer,"2021-09-05 02:20:54",979,Outgoing,51
"Danielle Richardson","George Anderson",Nurse,"2021-09-29 04:39:46",195,Outgoing,64
"Danielle Richardson","Lizzie Smith",Carer,"2021-09-15 10:14:43",345,Outgoing,85
"Danielle Richardson","Millie Cooper",Carer,"2021-09-03 12:18:15",709,Incoming,49
"Danielle Richardson","Harvey Edwards",Nurse,"2021-08-22 10:48:37",633,Incoming,79
"Danielle Richardson","Sienna Campbell",Carer,"2021-08-25 08:53:11",435,Outgoing,41
"Danielle Richardson","Kieran Wood",Carer,"2021-08-18 03:40:46",892,Incoming,86
"Danielle Richardson","Jennifer Cooper",Carer,"2021-10-03 10:51:56",618,Outgoing,86
"Danielle Richardson","Mohammed Collins",Nurse,"2021-09-28 09:15:38",248,Incoming,12
"Danielle Richardson","Bruce James",Nurse,"2021-09-04 11:12:04",439,Incoming,75
"Danielle Richardson","Summer Wright",Carer,"2021-09-17 03:28:46",322,Outgoing,77
"Danielle Richardson","Muhammad Gray",Carer,"2021-10-04 10:06:16",595,Incoming,31
"Danielle Richardson","Suzanne Allen",Nurse,"2021-10-14 10:54:09",586,Outgoing,7
"Danielle Richardson","Jasmine Mitchell",Nurse,"2021-09-08 11:35:47",553,Outgoing,66
"Danielle Richardson","Sonia Young",Nurse,"2021-10-13 02:21:28",595,Incoming,76
"Danielle Richardson","Lizzie Smith",Carer,"2021-08-24 04:58:28",657,Incoming,68
"Danielle Richardson","Jackson Jones",Carer,"2021-09-12 04:20:55",562,Incoming,2
"Danielle Richardson","Harrison Patel",Carer,"2021-08-21 08:41:10",418,Outgoing,30
"Danielle Richardson","Kieran Wood",Carer,"2021-10-08 11:51:55",293,Outgoing,30
"Danielle Richardson","Quentin Collins",Nurse,"2021-08-15 02:43:45",897,Outgoing,40
"Danielle Richardson","Jasmine Mitchell",Nurse,"2021-10-01 09:00:34",946,Outgoing,12
"Danielle Richardson","Ryan Turner",Carer,"2021-09-29 03:57:00",468,Outgoing,61
"Danielle Richardson","Evelyn Evans",Nurse,"2021-09-19 10:36:46",178,Incoming,83
"Danielle Richardson","Reece Gray",Nurse,"2021-08-28 02:15:44",665,Outgoing,90
"Danielle Richardson","Lucas Wilson",Carer,"2021-09-21 07:41:46",377,Incoming,67
"Danielle Richardson","Quentin Morgan",Nurse,"2021-09-10 02:26:58",732,Outgoing,59
"Danielle Richardson","Joel Palmer",Carer,"2021-08-16 08:42:56",689,Incoming,18
"Danielle Richardson","Barry Mason",Nurse,"2021-09-17 05:42:43",555,Incoming,4
"Danielle Richardson","Laura White",Carer,"2021-09-02 02:55:47",704,Outgoing,19
"Danielle Richardson","Suzanne Allen",Nurse,"2021-08-18 11:11:00",187,Outgoing,79
"Danielle Richardson","Reece Gray",Nurse,"2021-09-05 01:14:27",278,Incoming,17
"Danielle Richardson","Max Butler",Nurse,"2021-10-05 07:08:13",531,Incoming,50
"Danielle Richardson","Millie Cooper",Carer,"2021-09-07 04:20:23",568,Incoming,69
"Danielle Richardson","Ryan Graham",Carer,"2021-09-15 01:39:24",642,Incoming,90
"Danielle Richardson","Ray Graham",Carer,"2021-10-02 04:50:31",798,Outgoing,92
"Danielle Richardson","Carole Hall",Carer,"2021-09-19 06:00:32",996,Outgoing,99
"Danielle Richardson","Paula Stevens",Carer,"2021-08-23 01:58:00",815,Incoming,3
"Danielle Richardson","George Anderson",Nurse,"2021-08-23 12:35:46",850,Incoming,2
"Danielle Richardson","Michael Collins",Carer,"2021-08-29 09:37:05",163,Outgoing,6
"Danielle Richardson","Beth Clark",Carer,"2021-09-06 08:08:36",276,Outgoing,93
"Danielle Richardson","Quentin Morgan",Nurse,"2021-08-31 12:21:48",511,Incoming,92
"Danielle Richardson","Evie Bailey",Carer,"2021-08-26 11:09:53",733,Outgoing,89
"Danielle Richardson","Aiden Hunt",Nurse,"2021-08-24 12:08:38",912,Outgoing,93
"Danielle Richardson","Ross Owen",Nurse,"2021-10-07 05:02:48",863,Incoming,11
"Danielle Richardson","Jackson Jones",Carer,"2021-09-20 11:20:05",836,Outgoing,2
"Danielle Richardson","Emma Harrison",Carer,"2021-10-01 08:37:29",429,Outgoing,89
"Danielle Richardson","Peter Hughes",Nurse,"2021-09-03 05:56:25",508,Outgoing,8
"Danielle Richardson","Harry Ross",Carer,"2021-09-25 07:32:51",712,Incoming,35
"Danielle Richardson","Reece Hill",Nurse,"2021-09-12 08:57:08",221,Incoming,61
"Danielle Richardson","Becky Richardson",Carer,"2021-08-23 03:55:02",526,Outgoing,59
"Danielle Richardson","Emma Harrison",Carer,"2021-08-22 11:40:55",139,Outgoing,87
"Danielle Richardson","Quentin Collins",Nurse,"2021-09-06 02:13:22",720,Outgoing,71
"Danielle Richardson","Chris Davis",Carer,"2021-09-08 12:46:09",49,Incoming,53
"Danielle Richardson","Mike Scott",Carer,"2021-10-11 12:17:29",443,Incoming,76
"Danielle Richardson","Becky Griffiths",Carer,"2021-10-14 08:28:46",658,Incoming,59
"Danielle Richardson","Nathan Bell",Nurse,"2021-09-28 01:12:23",775,Incoming,0
"Danielle Richardson","Jamie Mason",Nurse,"2021-09-23 01:34:00",64,Incoming,5
"Danielle Richardson","Evelyn Thomas",Carer,"2021-10-10 10:10:10",573,Outgoing,32
"Danielle Richardson","Finley Hughes",Nurse,"2021-09-14 04:14:38",923,Outgoing,62
"Danielle Richardson","Erin Roberts",Nurse,"2021-08-25 12:27:21",55,Outgoing,44
"Danielle Richardson","Mike Scott",Carer,"2021-08-16 11:47:04",456,Incoming,89
"Danielle Richardson","Evelyn Evans",Nurse,"2021-10-03 07:10:40",557,Incoming,3
"Danielle Richardson","Sonia Young",Nurse,"2021-09-20 12:04:44",867,Outgoing,28
"Danielle Richardson","Gordon Shaw",Nurse,"2021-10-05 02:26:05",319,Outgoing,18
"Danielle Richardson","Ian Davies",Carer,"2021-08-24 05:15:51",177,Incoming,22
"Danielle Richardson","Tyler Hughes",Carer,"2021-09-25 07:25:36",464,Incoming,6
"Danielle Richardson","Lizzie Smith",Carer,"2021-08-28 07:48:31",350,Incoming,95
"Danielle Richardson","Tyler Hughes",Carer,"2021-09-18 02:32:51",295,Outgoing,81
"Danielle Richardson","Mohammed Collins",Nurse,"2021-09-07 09:51:53",904,Incoming,1
"Danielle Richardson","Millie Cooper",Carer,"2021-09-06 04:28:17",352,Outgoing,93
"Danielle Richardson","Aiden Hunt",Nurse,"2021-08-24 04:29:29",544,Outgoing,82
"Danielle Richardson","Charlotte Harris",Carer,"2021-08-30 02:18:01",163,Outgoing,36
"Danielle Richardson","Reece Hill",Nurse,"2021-10-08 03:26:32",722,Incoming,9
"Danielle Richardson","Benjamin Murphy",Carer,"2021-09-25 11:18:45",42,Outgoing,17
"Danielle Richardson","Tyler Hughes",Carer,"2021-10-11 02:44:01",279,Incoming,11
"Danielle Richardson","Laura White",Carer,"2021-09-26 06:02:13",627,Incoming,61
"Danielle Richardson","Sonia Young",Nurse,"2021-09-30 10:03:28",527,Outgoing,77
"Danielle Richardson","Michael Collins",Carer,"2021-09-28 10:47:33",892,Outgoing,92
"Danielle Richardson","Mohammed Collins",Nurse,"2021-10-07 03:34:25",568,Outgoing,5
"Danielle Richardson","Gordon Shaw",Nurse,"2021-09-17 08:02:25",855,Incoming,56
"Danielle Richardson","Ryan Graham",Carer,"2021-09-29 03:20:49",218,Outgoing,92
"Danielle Richardson","Lizzie Smith",Carer,"2021-09-02 11:43:35",468,Outgoing,32
"Danielle Richardson","Tyler Hughes",Carer,"2021-10-07 05:09:48",792,Outgoing,93
"Danielle Richardson","Gordon Shaw",Nurse,"2021-09-01 12:36:09",266,Outgoing,99
"Danielle Richardson","Bruce James",Nurse,"2021-08-25 01:23:08",409,Incoming,79
"Danielle Richardson","Jennifer Cooper",Carer,"2021-08-17 10:14:52",124,Incoming,14
"Danielle Richardson","Harvey Edwards",Nurse,"2021-09-13 10:30:26",678,Outgoing,50
"Danielle Richardson","Finley Hughes",Nurse,"2021-09-09 09:52:44",360,Outgoing,36
"Danielle Richardson","Nathan Bell",Nurse,"2021-09-07 11:43:53",460,Outgoing,3
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-09-08 08:29:32",275,Incoming,60
"Danielle Richardson","Harrison Patel",Carer,"2021-10-04 06:57:30",513,Outgoing,37
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-08-25 06:20:32",846,Incoming,92
"Danielle Richardson","Harry Ross",Carer,"2021-10-14 06:58:15",963,Outgoing,34
"Danielle Richardson","Barry Mason",Nurse,"2021-10-11 07:22:09",123,Outgoing,16
"Danielle Richardson","Sasha Cox",Nurse,"2021-09-02 01:02:18",522,Incoming,94
"Danielle Richardson","George Anderson",Nurse,"2021-10-07 06:13:01",777,Outgoing,53
"Danielle Richardson","Summer Wright",Carer,"2021-10-14 10:57:34",708,Incoming,11
"Danielle Richardson","Peter Hughes",Nurse,"2021-09-19 06:54:43",559,Outgoing,74
"Danielle Richardson","Becky Richardson",Carer,"2021-09-03 04:28:37",240,Incoming,80
"Danielle Richardson","Harry Ross",Carer,"2021-10-06 06:00:19",291,Outgoing,77
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-10-14 02:38:05",469,Incoming,95
"Danielle Richardson","Evelyn Thomas",Carer,"2021-08-30 06:19:38",311,Incoming,54
"Danielle Richardson","Adrian Ross",Carer,"2021-09-24 04:53:09",252,Incoming,72
"Danielle Richardson","Lilly Stewart",Carer,"2021-09-05 05:48:19",870,Incoming,27
"Danielle Richardson","Suzanne Allen",Nurse,"2021-10-02 05:50:42",479,Incoming,57
"Danielle Richardson","Poppy Johnson",Carer,"2021-09-22 02:09:21",569,Incoming,5
"Danielle Richardson","Ross Owen",Nurse,"2021-09-25 11:57:48",882,Outgoing,7
"Danielle Richardson","Beth Clark",Carer,"2021-08-28 05:15:14",163,Outgoing,60
"Danielle Richardson","Gordon Shaw",Nurse,"2021-09-05 01:41:39",852,Outgoing,62
"Danielle Richardson","Karl Bell",Nurse,"2021-09-24 07:48:03",717,Incoming,42
"Danielle Richardson","Aiden Hunt",Nurse,"2021-09-02 12:45:42",592,Incoming,63
"Danielle Richardson","Kimberly Adams",Carer,"2021-09-12 08:00:24",227,Outgoing,24
"Danielle Richardson","Samantha Reid",Carer,"2021-09-09 09:20:12",592,Outgoing,30
"Danielle Richardson","Aiden Hunt",Nurse,"2021-08-26 02:19:30",339,Incoming,73
"Danielle Richardson","Becky Griffiths",Carer,"2021-10-14 02:06:35",80,Outgoing,18
"Danielle Richardson","Grace Walker",Nurse,"2021-09-23 10:01:01",929,Outgoing,96
"Danielle Richardson","Laura White",Carer,"2021-10-07 04:37:14",95,Incoming,46
"Danielle Richardson","Suzanne Marshall",Nurse,"2021-10-12 08:32:36",587,Outgoing,96
"Danielle Richardson","Millie Cooper",Carer,"2021-08-24 11:12:59",949,Outgoing,94
"Danielle Richardson","Jennifer Cooper",Carer,"2021-09-19 04:29:49",553,Incoming,13
"Danielle Richardson","Mohammed Collins",Nurse,"2021-09-06 04:50:11",767,Outgoing,66
"Danielle Richardson","Benjamin Murphy",Carer,"2021-09-01 01:53:01",949,Outgoing,0
"Danielle Richardson","Paula Stevens",Carer,"2021-09-12 08:54:15",702,Outgoing,45
"Danielle Richardson","Karl Bell",Nurse,"2021-09-24 06:28:26",260,Incoming,19
"Danielle Richardson","Finley Hughes",Nurse,"2021-09-30 10:12:55",697,Incoming,90
"Danielle Richardson","Becky Griffiths",Carer,"2021-09-05 08:44:45",146,Incoming,69
"Danielle Richardson","Kieran Wood",Carer,"2021-09-03 01:09:33",316,Outgoing,36
"Danielle Richardson","Ray Graham",Carer,"2021-09-01 11:05:20",675,Incoming,27
"Danielle Richardson","Harrison Patel",Carer,"2021-08-26 03:04:30",871,Incoming,40
"Danielle Richardson","Steve Saunders",Carer,"2021-08-25 05:07:35",119,Outgoing,33
"Danielle Richardson","Jackson Jones",Carer,"2021-09-25 04:20:44",640,Incoming,41
"Danielle Richardson","Reece Gray",Nurse,"2021-09-29 12:36:43",784,Outgoing,87
"Danielle Richardson","Jackson Jones",Carer,"2021-09-03 11:00:58",237,Outgoing,85
"Danielle Richardson","Millie Cooper",Carer,"2021-09-10 04:03:47",982,Incoming,77
"Danielle Richardson","Jennifer Cooper",Carer,"2021-09-17 11:04:24",415,Outgoing,80
"Danielle Richardson","Sasha Cox",Nurse,"2021-09-04 02:07:16",415,Outgoing,27
"Danielle Richardson","Yvonne Gray",Nurse,"2021-08-17 06:24:09",505,Incoming,91
"Danielle Richardson","Joseph Murray",Carer,"2021-10-05 10:21:47",686,Outgoing,45
"Danielle Richardson","Becky Griffiths",Carer,"2021-08-31 03:10:50",489,Outgoing,20
"Danielle Richardson","Evelyn Evans",Nurse,"2021-10-07 06:09:17",222,Incoming,3
"Danielle Richardson","Donna Robinson",Carer,"2021-09-28 10:23:53",103,Incoming,87
"Danielle Richardson","Jessica Lewis",Nurse,"2021-09-23 09:33:39",867,Outgoing,26
"Danielle Richardson","Emma King",Nurse,"2021-09-11 09:56:04",932,Incoming,15
"Danielle Richardson","Jake Young",Nurse,"2021-08-27 09:22:15",989,Outgoing,63
"Danielle Richardson","Alexandra Hughes",Nurse,"2021-09-17 11:11:53",298,Outgoing,85
